firstName	lastName	bio	birth	death	image	nid
Dean	Alford, fully Clarence "Dean" Alford	American Politician and Businessman, CEO and President of Allied Energy Services, Co-chair of the Pine 2 Energy Coalition	1953	NULL	alford_thmb[1].jpg	186756
Al-Ghazali, fully Abū Ḥāmed Muḥammad ibn Muḥammad Ghazālī	NULL	Islamic Theologian, Jurist, Philosopher, Cosmologist, Psychologist and Sufi Mystic of Persian origin	c. 1058	1111	al-ghazali[1].jpg	186758
Archibald	Alison	Scottish Episcopalian Priest and Essayist	1757	1839	220px-Archibald_Alison[1].jpg	186762
Joseph	Alleine	English Puritan Nonconformist Pastor and Author of Religious Works	1634	1668	Joseph-Alleine2_bigger[1].jpg	186763
Richard	Alleine	English Puritan Divine	1611	1681	Joseph+Alleine+cropped[1].jpg	186764
Eric	Lewis, aka ELEW	American Jazz Pianist known for channeling "the raw emotion of alternative rock into fiery, take-no-prisoners jazz piano arrangements"	1973	NULL	elew_300-2ff6f28450c33e4973204bbf0ab034a132a1776f-s6-c30[1].jpg	186765
Alphonse 	Kann	French Art Collector of Jewish Heritage	1870	1948	ori_1127_720946589_1137189_8293_alphonse_kann_collection_1927_1[1].jpg	186771
Lisa	Alther	American Author and Professor of Fiction	1944	NULL	lisa-bio-photo[1].jpg	186772
Samuel	Amalu	American Dean of Lighthouse Keepers in Hawaii	1917	1986	Samuel_Amalu[1].jpg	186773
Amen-em-apt	NULL	Pharaoh	c. 700 B.C.	NULL	Cast+of+thousands+-+The+Loves+of+Pharaoh+(1922)[1].jpg	186775
American Civil Liberties Union	NULL	Consists of two separate non-profit organizations: the ACLU Foundation which focuses on litigation and communication efforts, and the American Civil Liberties Union which focuses on legislative lobbying	1920	NULL	aclu_logo[1].png	186776
Judith	Anderson, born Frances Margaret Anderson-Anderson, aka Dame Judith Anderson	Australian-born American-based Stage and Motion Picture Actress	1898	1992	220px-Judith_Anderson_1934-09-11[1].jpg	186780
Terry	Anderson, fully Terry A. Anderson	American Press, Held Hostage By Shiite Hezbollah Terrorists	1947	NULL	1204-terry-anderson[1].jpg	186781
Dwight Douglas	Andrews	American Musical Theorist, Composer and Minister	1951	NULL	i2cwoltevv-jkhaag2ldk0hae9jrz-kqmfme9zfqk94[1].jpeg	186782
Sandy	Andron, born Alexander Andron	American Educator, Anti-Cult Activist, Rabbi, Education Consultant	1941	NULL	Leo%20J.%20Ryan%20honoree%20Alexander%20Sandy%20Andron[1].jpg	186783
James B.	Angell, fully James Burrill Angell	American Educator, Academic Administrator and Diplomat	1829	1916	220px-James_Burrill_Angell[1].png	186784
Michelangelo, aka Michaelangelo Buonarroti, fully Michelangelo di Lodovico Buonarroti Simoni	NULL	Italian Renaissance Painter, Sculptor, Architect, Poet and Engineer 	1475	1564	mich[1].jpg	186785
Khajah Abdullah	Ansari of Herat, Abu Ismaïl Abdullah ibn Abi-Mansour Mohammad or Khajah Abdullah Ansari of Herat 	Persian Sufi Master, Known as the "Pious of Herat" and "Shaikhul Islam"	c. 1006	c. 1088	162038_193936023954567_1184050_n[1].jpg	186790
Katharine	Anthony, fully Katharine Susan Anthony	American Biographer	1877	1965	pi15_491[1].jpg	186795
Antiphon 	NULL	Athenian Orator, Statesman	c. 480 B.C.	411 B.C.	luman_1[1].png	186798
Antisthenes	NULL	Greek Philosopher, Founder of the Cynic School	c. 445 B.C.	365 B.C.	200px-Anisthenes_Pio-Clementino_Inv288[1].jpg	186799
Antoine de la 	Salle (or Sale)	French Writer	c. 1385	c. 1460	Antoine_Lasalle[1].JPG	186800
Marcus	Aurelius,  Marcus Aurelius Antoninus Augustus	Roman Emperor, known for Stoic tome Meditations	121	180	Marco_Aurelio_bronzo[1].JPG	186801
Apocrypha	NULL	Part of Sacred Literature of Alexandrian Jews	c. 100 B.C.	NULL	apoc1[1].jpg	186803
Fred de	Armond	Leader of Garment Workers Union	NULL	NULL	improve-yourself[1].jpg	186809
J. Ogden	Armour, fully Jonathan Ogden Armour	American Meatpacking Magnate, President of Armour and Company	1863	1927	220px-JOgdenArmour[1].jpg	186810
John	Armstrong	Scottish Journalist and Poet	1771	1797	NULL	186811
H. W.	Arnold	NULL	NULL	NULL	enthusiasm%20wordle[1].jpg	186814
William	Arthur	Welch Wesleyan Methodist Minister	1819	1901	arthur[1].png	186817
Bahya ben	Asher ibn Halawa, also known as Rabbeinu Behaye 	Rabbi and Jewish Scholar noted for introducing Kabbalah (Jewish mysticism) into study of the Torah	Mid 13th Century	1340	2007-11-27-1422-38[1].jpg	186820
Aśvaghoṣa	NULL	Indian Philosopher, Poet and Sanskrit Dramatist	c. 80	c. 150	thirteenth_1_-220x235[1].jpg	186822
Nancy	Astor, fully Lady Nancy Witcher Astor, Viscountess Astor	American-born Englishwoman, First woman to sit as a Member of Parliament int he British House of Commons	1879	1964	081546_001[1].jpg	186825
Francis	Atterbury	English Bishop	1662	1732	small[1].jpeg	186827
Lee	Atwater, fully Harvey LeRoy "Lee" Atwater	American Political Consultant and Strategist, Republican National Committee Chairman, Advisor to President Ronald Reagan and President George H.W. Bush	1951	1991	lee+atwater[1].jpg	186828
W. H.	Auden, fully Wystan Hugh Auden	English-born American Poet, Essayist and Playwright	1907	1973	w.h.auden-200x305[1].jpg	186829
Berthold	Auerbach	German Novelist	1812	1882	220px-Berthold_Auerbach[1].jpg	186830
Joseph von	Auffenberg	German Dramatic Poet	1798	1857	220px-Joseph_von_Auffenberg[1].jpg	186831
Arthur	Aughey	Author, Senior lecturer in the School of Economics and Politics at the University of Ulster	NULL	NULL	Professor-Arthur-Aughey[1].png	186832
Austonius, fully Decimus Magnus 	Ausonius	Latin Poet and Rhetorician	310	395	410194[1].jpg	186834
Abraham ben Moses ben Maimon, aka Rabbi Avraham Maimuni, aka Rabbeinu Avraham ben ha-Rambam	NULL	Egyptian Rabbi, Son of Maimonides who succeed his father as Nagid of Egypt	1186	1237	Rambam-RabbiMosheBenMaimon-Maimonides[1].jpg	186838
Rabbi Avraham of Sochotchov	NULL	NULL	NULL	NULL	NowPoleXSmall[1].jpg	186839
Simeon ben	Azai, sometimes Ben Azai	Palestinian Rabbi, One of the Compilers of the Talmud who engaged in esoteric speculation	fl early 2nd Century	NULL	TEXT_W[1].jpg	186840
Elazar ben	Azariah, alt. spelling Eleazar	Rabbi, Mishnaic Scholar, Junior Contemporary of Gamaliel II, Colleague and Friend of Rabbi Akiva	c. 90	c. 155	rabbi-blowing-shofar[1].jpg	186841
H.	B.	English Enlightened Writer	19th Century	NULL	enlightened-butterfly-goddess-bright[1].jpg	186842
Meher	Baba, born Merwan Sheriar Irani	Indian Mystic and Spiritual Master	1894	1969	M_baba_005[1].gif	186844
Joseph Marius von	Babo	German Dramatist	1756	1822	Joseph_Marius_von_Babo[1].jpg	186846
Bacchylides	NULL	Greek Lyric	c. 505 B.C.	c. 450 B.C.	GAME4V_20202913[1].jpg	186849
Charles	Backus	American Theologian	1749	1803	backus[1].jpg	186852
Rabbi Dov	Ber of Mezeritch, aka Maggid of Mezeritch	Volynian Chassidic Rabbi, Orator, Original Thinker, "The Great Maggid" and Disciple of The Baal Shem Tov	1710	1772	138_rabbi_dov_ber_sheneerson[1].jpg	186854
Walter	Bagehot	English Economist, Critic, Businessman, Essayist, Social Darwinist and Journalist who wrote extensively about Literature, Government and Economic Affairs	1826	1877	bagehot[1].jpg	186856
Roy I.	Bagley	NULL	NULL	NULL	7-Reasons-Why-You-Must-Have-Positive-Thinking[1].jpg	186857
Gamaliel	Bailey	American Journalist, Abolitionist, Editor and Publisher	1807	1859	bailey50[1].jpg	186859
Henry Christopher "H.C."	Bailey	British Detective Story Writer	1878	NULL	220px-Henry_Christopher_Bailey[1].jpg	186860
Josia 	Bailey, fully Josiah William Bailey	American Senator of North Carolina, Editor of the Biblical Recorder	1873	1946	Josiah_W._Bailey[1].jpg	186861
Joanna	Baillie	Scottish Poet and Dramatist	1762	1851	joanna_baillie[1].jpg	186864
Augustine	Baker	Benedictine Mystic and Ascetic Writer	1575	1641	FrAugustineBaker[1].jpg	186865
Faith	Baldwin	American Author of Romance and Fiction publishing 100 novels	1893	1978	dc068bf86b185bb6374636241674331414f6744[1].jpg	186867
Clara Lucas	Balfour	English Temperance Campaigner, Lecturer, Teacher and Author	1808	1878	no444[1].jpg	186870
J. L.	Balsford	NULL	NULL	NULL	NULL	186874
Honoré de	Balzac	French Novelist, Playwright, Poet and Short Story Writer	1799	1850	220px-Balzac[1][1].jpg	186875
George	Bancroft	American Historian and Statesman, U.S. Secretary of the Navy, Prominent in promoting Secondary Education	1800	1891	_B97PGewBGk_KGrHqQOKjoEzJ0WNzdKBM7KkHPh_g_0_12-317x452[1].jpg	186876
Bankei 	Yōtaku	Rinzai Zen Buddhist Master, Abbot of the Ryomon-ji and Nyoho-ji, known for his talks on the Unborn	1622	1693	Samurai-Yari-02[1].jpg	186877
Harry F.	Banks, real name possibly Harry Band	Scottish Soldier serving in the Canadian Army	1896	c. 1915	Harry%20F.%20Banks[1].jpg	186878
Adolfo	Barcella	Argentinean Hotelier	NULL	NULL	85672-81515[1].jpg	186879
Michael	Barenbaum	American Scholar, Professor, Rabbi, Writer, Lecturer and Film-maker who focused on the memorialization of the Holocaust, Director of the U.S. Holocaust Museum Research Institute, President of the Survivors of the Shoah Visual History Foundation, Executive Editor of the Encyclopedia Judaica	1945	NULL	dr-berenbaum-2012[1].jpg	186880
Djuna Chappell	Barnes	American Novelist, Short Story Writer	1892	1982	h3867[1].jpg	186881
Joseph L.	Baron	Rabbi, Editor and Author	1894	1960	51dnfH7PcyL._SL500_AA300_[1].jpg	186882
Rona	Barrett born Rhona Bernstein, Mrs. William Trowbridge	American Gossip Columnist and Businesswoman, Runs Rona Barrett Foundation in support of senior citizens in need	1936	NULL	rona_barrett[1].jpg	186883
J.M.	Barrie, fully Sir James Matthew Barrie, 1st Baronet	Scottish Dramatist, Author, Novelist, best known as creator of Peter Pan	1860	1937	upload.wikimedia.org_James_Matthew_Barrie00[1].jpg	186884
Jonah	Barrington, Sir Jonah Barrington	Irish Lawyer, Judge and Politician	1760	1834	180px-Jonah_Barrington[1].JPG	186885
Isaac	Barrow	English Polemical Author, Scholar, Mathematician and Christian Theologian	1630	1677	200px-Isaac_Barrow[1].jpg	186886
George Washington	Barrow or Barrows	American Politician, U.S. House of Representatives for Tennessee, Editor	1807	1866	washington_bust_medium[1].jpg	186887
Alan	Barth	American Editorial Journalist with Washington Post and Author	1906	1979	gse_multipart66894[1].jpg	186889
Auguste-Marseille	Barthélemy	French Satirical Poet	1796	1866	who-lord-henry-bathurst[1].jpg	186891
John	Bartlett	American Compiler and Publisher	1820	1905	BartlettJon-129x176[1].gif	186892
Bernard	Baruch, fully Bernard Mannes Baruch	American Businessman, Statesman, Advisor to U.S. Presidents	1870	1965	7cedc306b5ea7462_large_e4593[1].jpg	186896
Matsuo	Bashō, born Matsuo Kinsaku, then Matsuo Chūemon Munefusa	Japanese Haiku Poet, Zen Monk	1644	1694	matsuo_basho[1].jpg	186899
Giambattista	Basile, aka Giovan Battista Basile	Italian Poet, Courtier and Fairy Tale Collector	1575	1632	41816_47045692215_183_n[1].jpg	186901
Anderson M.	Baten	Philosopher, Author	1888	1943	baten_ae[1].jpg	186903
Orlando A.	Battistam, fully Orlando Aloysius Battista, aka O.A. Battista	Canadian-American Chemist and Author	1917	1995	wolfequotoons01[1].jpg	186904
Charles Pierre	Baudelaire	French Poet, Art Critic	1821	1867	Baudelaire[1].jpg	186905
Gérard	Bauër	French Writer, Journalist and Essayist	1888	1967	gbauer[1].jpg	186906
R. M.	Baumgardy	NULL	NULL	NULL	A_man_of_no_importance[1].gif	186907
Richard	Baxter	English Divine, Puritan Church Leader, Poet, Theologian, Hymn-Writer and Controversialist	1615	1691	richard-baxter[1].jpg	186908
T. H.	Bayly, fully Thomas Haynes Bayly	English Poet, Dramatist, Writer and Composer of Songs	1797	1839	r3127_2011518_33414667330[1].jpg	186910
Romare	Bearden, fully Romate Howard Bearden	American Artist, Collagist and Writer	1911	1988	romare4[1].jpg	186913
James	Beattie	Scottish Poet	1735	1803	Drjamesbeattie[1].jpg	186914
Francis	Beaumont	English Playwright, Poet	c. 1584	1616	200px-Francis_Beaumont[1].jpg	186915
J.	Beaumont	English Religious Author	fl. 1650	NULL	NULL	186916
Ernest	Becker	American-Canadian Cultural Anthropologist and Interdisciplinary Scientific Thinker and Writer	1924	1974	becker[1].jpg	186919
Max	Beerbohm, fully Sir Henry Maximilian "Max" Beerbohm	English Essayist, Caricaturist and Parodist	1872	1956	maxbeerbohm[1].jpg	186921
Jacob	Bohme, or Jacob Behmen or Jakob Böhme	German Teutonic Philosopher, Christian Mystic, Father of German Philosophy	1575	1624	Boehme[1].jpg	186924
Samuel	Belkin	Russian-born American Rabbi, President of Yeshiva University, Torah Scholar	1911	1976	belkin1[1].jpg	186926
Saul	Bellow	Canadian-born American Novelist, Playwright, Winner of the Pulitzer Prize for Literature and National Medal of Arts	1915	2005	041b3d97e6eaa5df227a19d4274cd1d7[1].jpg	186930
Henry Whitney	Bellows	American Unitarian Clergy, Planner and President of the United States Sanitary Commission	1814	1882	bellowsH_sm[1].jpg	186931
Stephen Vincent	Benét	American Poet, Short-Story Writer and Novelist, known for book-length narrative poem of the American Civil War, John Brown's Body	1898	1943	Stephen-Vincent-Benet-01[1].jpg	186935
George Stuart	Benson	Missionary to China, Founder and Principal of Canton Bible School, President Harding College, Chancellor Oklahoma Christian University	1898	1991	Benson,George,S[1].JPG	186937
W. O.	Bentley, fully Walter Owen Bentley	English Founder of Bentley Motors, Designer of Aero Engines, Designer and Racer of Motor Cars	1888	1971	bentley2_m[1].jpg	186939
Martin Bentzel von 	Sternau und Hohenau	British Count in line of success to British Throne	1928	NULL	02482183751787385[1].jpg	186940
Pierre-Jean de	Béranger	French Poet and Songwriter	1780	1857	pierre_jean_beranger_1780_185_hi[1].jpg	186943
Philip S.	Berg, originally Feivel Gruberger 	American Rabbi, Dean of Research Center of Kabbalah and Author	1959	2013	7bc591f4113ccec5ca9fe78669ce1725[1].jpg	186945
Naftali Zvi	Horowitz of Ropshitz	Rabbi	1760	1827	Naftali-Horowitz-Toronto[1].jpg	186946
Henri	Bergson, aka Henri-Louis Bergson	French Philosopher	1859	1941	8111929414_587310c98a_b[1].jpg	186947
Tristan	Bernard, born Paul Bernard	French Playwright, Novelist, Journalist and Lawyer	1866	1947	Tristan_Bernard_1929[1].jpg	186954
Eric	Berne, born as Leonard Bernstein	Canadian-born Psychiatrist, Originator of Transactional Analysis	1910	1970	eric-berne-avatar-2765[1].jpg	186955
Pierre de	Bérulle	French Cardinal and Statesman, Mystic, Founder of the French School of Spirituality	1575	1629	Pierre%20de%20Berulle_small[1].jpg	186957
S'rîmad	Bhâgavatam, aka Bhâgavata Purâna or Bhāgavata	Indian Hindu Classic describing the life of Lord Krishna written by Philosopher Krishna Dvaipâyana Vyâsadeva, also called Bâdarâyana who compiled the Mahâbhârata and Vedas, also known as s'ruti, containing the basic wisdom, the mantras for the rituals and the hymns. 	c. 3228 B.C.	NULL	radhakrsnalight[1].gif	186961
Subhadra	Bhikshu, pen name for Friedrich Zimmermann	German Lay Buddhist, Author	1851	1917	101712408[1].jpg	186963
Bias	NULL	Greek Philosopher, One of the Seven Sages of Greece	fl. Middle of 6th Century. B.C.	NULL	bias_of_priene_vat2[1].JPG	186966
Caroline	Bird	British Poet, Playwright and Author	1986	NULL	19396_Caroline_Bird_ph[1].jpg	186969
Larry	Bird, fully Larry Joe Bird	American Professional Basketball Star, Coach, Hall of Famer, President of Operations for the Pacers	1956	NULL	larry-bird[1].jpg	186970
Andrei	Bitov, fully  Andrei Georgiyevich Bitov	Soviet Writer, Editor, Bunin Award Winner	1937	NULL	bitov_07[1].jpg	186972
Shirley	Temple, later Shirley Temple Black, born Shirley Jane Temple	American Movie and Television Actress, Singer, Dancer, Politician, U.S. Ambassador to Ghana and Czechoslovakia	1928	NULL	Shirley_Temple_6[1].jpg	186973
Black Hawk, born Ma-ka-tai-me-she-kia-kiak	NULL	Leader and Warrior of the Sauk American Indian Tribe	1767	1838	catlin_blackhawk1832-754591[1].jpg	186975
Harry	Blackmun, fully Harold "Harry" Andrew Blackmun	American Supreme Court Associate Justice, best known as the author of Roe v. Wade	1908	1999	51032c47ea181.preview-300[1].jpg	186977
R. D.	Blackmore, fully Richard Doddridge Blackmore	English Victorian Novelist and Poet	1825	1900	220px-Rdblackmore[1].jpg	186978
William	Blackstone, fully Sir William Blackstone	English Judge, Jurist and Tory Politician most noted for writing The Commentaries on the Laws of England	1723	1780	blackstone[1].jpg	186979
Hugh	Blair	Scottish Divine	1718	1800	hughblair2[1].png	186980
William	Blake	English Poet, Engraver, Painter, Visionary Mystic	1757	1827	williamblake[1].jpg	186981
Yitzchok	Blauser, aka Reb Itzelle Peterburger	Known as “Reb Itzele Peterburger” Rabbi of St. Petersburg, Author	1837	1907	H05[1].jpg	186983
Marguerite	Gardiner, Countess of Blessington, Lady Blessington, born Margaret Power	Irish Novelist	1789	1849	240px-Maguerite%2C_Countess_of_Blessington[1].jpg	186985
Bruce	Bliven	American Author, Editor	1889	1977	617[1].jpg	186986
Yosef Leib	Bloch, fully R' Yosef Yehudah Leib Bloch	Rabbi, Talmudic Scholar, Founded Kollel ("Postgraduate Institute) to train graduates for the rabbinate	1860	1930	BlochYosefLeib2_large[1].jpg	186987
Léon 	Bloy	French Novelist, Essayist, Pamphleteer and Critic	1846	1917	bloy_young[1].jpg	186990
Léon 	Blum, fully André Léon Blum	French Statesman, Critic, three times Prime Minister of France	1872	1950	220px-L%C3%A9on_Blum_reading[1].jpg	186991
Otto	Blumenthal	German Mathematician and Professor at RWTH Aachen University	1876	1944	blumenthal_otto[1].jpg	186992
Robert	Bly	American Poet, Author, Activist and Leader of the Mythopoetic Men's Movement, best known for his book, "Iron John: A Book About Men"	1926	NULL	RobertBly(266x400)[1].jpg	186993
R. H. 	Blyth, fully Reginald Horace Blyth	English Author and Devotee of Japanese Culture	1898	1964	ancestors%2022%20spring%201998[1].jpg	186994
George Dana	Boardman "The Younger"	Burmese-born American Baptist Missionary and Clergyman, Founded Boardman Foundation in Christian Ethics	1828	1903	20060802001x200[1].jpg	186995
Geoffrey	Bocca	American Contemporary Writer and Historian	1924	1983	Geoffrey_4[1].jpg	186997
Paul	Bocuse	French Chef of Nouvelle Cuisine, Restaurateur and winner of French Legion of Honor	1926	NULL	220px-Paul_Bocuse2[1].jpg	186999
John	Bodenham	Anthologist	c. 1559	c. 1610	68B5A-anthologist[1].jpg	187000
Stephan	Bodian	American Buddhist Monk, Editor of Yoga Journal, Zen Teacher and Author of Meditation for Dummies and Buddhism for Dummies	c. 1945	NULL	StephanBodian[1].jpg	187001
Hermann	Boerhaave	Dutch Physician	1668	1738	300px-Herman_Boerhaave_by_J_Champan[1].jpg	187002
Ludwig	Börne, fully Karl Ludwig Börne	German Political Writer and Satirist	1786	1837	boerne[1].jpg	187003
Paul	Boese	American Businessman and Author	1923	1976	forgiveness-does-not-change-the-past-but-it-does-enlarge-the-future-quote-2[1].jpg	187004
William J. H.	Boetcker, fully William John Henry Boetcker	American Religious Leader and Public Speaker	1873	1962	William-J.H.-Boetcker[1].jpg	187005
Boethius, fully Anicius Manlius Severinus Boethius	NULL	Roman Philosopher	c. 480	525	lost[1].jpg	187006
Henry George	Bohn	British Publisher	1796	1884	Bohn-HG[1].jpg	187008
Pierre Claude	Boiste, fully Pierre Claude Victor Boiste	French Lexicographer and Editor of the French Universal Dictionary	1765	1824	boiste_0_1buast[1].png	187010
Edward William	Bok	Dutch-born American Editor and Pulitzer Prize-winning Author, Editor of the Ladies Home Journal	1863	1930	pc1900[1].jpg	187011
Jean Shinoda	Bolen	Jungian Psychiatrist	1936	NULL	jeanshinodabolenlrg[1].jpg	187012
Henry	St John, Lord Bolingbroke, 1st Viscount Bolingbroke	English Statesman	1678	1751	250px-1stViscountBolingbroke[2].jpg	187013
William	Bolitho, pen name for Charles William Ryall	British Author	1890	1930	41YpCBF%2BmML._SY300_[1].jpg	187014
Sarah T.	Bolton, fully Sarah Tittle Barrett Bolton	American Poet best known for her poem, "Paddle Your Own Canoe"	1814	1893	180px-Sarah_T_Bolton[1].jpg	187015
Louis Gabriel 	Bonald, fully Louis Gabriel Ambroise, Vicomte de Bonald 	French Counter-Revolutionary Philosopher and Politician	1754	1840	De+Bonald+otro+2[1].jpg	187017
Horatius	Bonar	Scottish Clergy	1808	1889	220px-Horatius_Bonar_-_Project_Gutenberg_eText_13103[1].jpg	187018
Pope Boniface VIII, born Benedetto Gaetani	NULL	Italian Pope best remembered for his feuds with Dante	1235	1303	150px-Bonifatius_viii_papst[1].jpg	187021
Abel	Bonnard	French Poet, Novelist and Politician	1883	1968	Abel%20Bonnard15[1].jpg	187022
Edward	Bonsenyor	Filmography	NULL	NULL	listening[1].jpg	187024
Carl Victor de	Bonstetten	Swiss Author	1735	1842	91px-Karl_Viktor_von_Bonstetten[1].jpg	187025
